,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,position,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
153,241335,1998-05-11,"Espoo, FIN",Finland,185.0,76.0,L,Pittsburgh Penguins,True,2016,5,151,Pittsburgh Penguins,niclas-almari,,,,,2016,2020-06-03,Niclas Almari,D,0.04,3,14.2
154,395509,2001-07-05,"Oulu, FIN",Finland,184.0,80.0,R,Arizona Coyotes,False,2019,5,151,Arizona Coyotes,aku-raty,,,,,2019,2020-06-03,Aku Räty,F,0.02,19,12.9
155,244393,1999-03-19,"Ingarö, SWE",Sweden,184.0,92.0,L,Washington Capitals,False,2017,5,151,Washington Capitals,sebastian-walfridsson,,,,,2017,2020-06-03,Sebastian Walfridsson,D,0.02,9,5.4
156,312832,1999-04-06,"Khabarovsk, RUS",Russia,178.0,70.0,L,Carolina Hurricanes,False,2019,5,152,Carolina Hurricanes,kirill-slepets,,,,,2017,2020-06-03,Kirill Slepets,F,0.02,5,32.3
157,265944,1999-04-01,"Maribor, SLO",Slovenia,188.0,79.0,R,Pittsburgh Penguins,True,2017,5,152,Pittsburgh Penguins,jan-drozg,,,,,2017,2020-06-03,Jan Drozg,F,0.07,5,21.4
158,299432,2000-02-21,"Ottawa, ON, CAN",Canada,187.0,90.0,L,,,2018,5,153,Winnipeg Jets,giovanni-vallati,,,,,2018,2020-06-03,Giovanni Vallati,D,0.19,17,33.6
159,118081,1998-06-01,"Tampere, FIN",Finland,183.0,94.0,R,Edmonton Oilers,False,2016,6,153,Edmonton Oilers,aapeli-rasanen,,,,,2016,2020-06-03,Aapeli Räsänen,F,0.04,4,19.2
160,363485,2001-02-02,"Praha, CZE",Czech Rep.,194.0,85.0,R,Washington Capitals,False,2019,5,153,Washington Capitals,hugo-has,,,,,2019,2020-06-03,Hugo Has,D,0.11,20,48.4
161,404752,2000-08-07,"Markham, ON, CAN",Canada,188.0,87.0,R,Vegas Golden Knights,True,2018,5,154,Vegas Golden Knights,connor-corcoran,,,,,2018,2020-06-03,Connor Corcoran,D,0.16,12,36.5
162,514141,2001-02-10,"Yaroslavl, RUS",Russia,180.0,77.0,L,Boston Bruins,False,2019,5,154,Boston Bruins,roman-bychkov,,,,,2019,2020-06-03,Roman Bychkov,D,0.1,38,36.8
163,270155,2000-03-03,"Sudbury, ON, CAN",Canada,177.0,84.0,L,Minnesota Wild,True,2018,5,155,Minnesota Wild,damien-giroux,,,,,2018,2020-06-03,Damien Giroux,F,0.18,12,53.0
164,433833,2001-08-16,"Kitchener, ON, CAN",Canada,178.0,84.0,L,St. Louis Blues,False,2019,5,155,St. Louis Blues,keean-washkurak,,,,,2019,2020-06-03,Keean Washkurak,F,0.13,21,89.2
165,265859,1999-03-09,"Västerås, SWE",Sweden,180.0,81.0,L,Toronto Maple Leafs,False,2018,6,156,Toronto Maple Leafs,pontus-holmberg,,,,,2017,2020-06-03,Pontus Holmberg,F,0.08,9,25.1
166,433810,2001-01-23,"Millis, MA, USA",USA,180.0,83.0,R,New Jersey Devils,False,2019,6,158,New Jersey Devils,patrick-moynihan,,,,,2019,2020-06-03,Patrick Moynihan,F,0.06,21,26.2
167,273669,1999-02-16,"Toronto, ON, CAN",Canada,180.0,86.0,L,Vegas Golden Knights,False,2017,6,158,Vegas Golden Knights,nick-campoli,,,,,2017,2020-06-03,Nick Campoli,F,0.04,6,21.8
168,201452,1999-02-25,"Orange, CA, USA",USA,180.0,85.0,R,San Jose Sharks,True,2017,6,159,San Jose Sharks,jake-mcgrew,,,,,2017,2020-06-03,Jake McGrew,F,0.17,16,62.2
169,350706,2001-07-05,"Göteborg, SWE",Sweden,200.0,103.0,L,Detroit Red Wings,False,2019,6,159,Detroit Red Wings,elmer-soderblom,,,,,2019,2020-06-03,Elmer Söderblom,F,0.3,63,73.5
170,296565,2000-02-11,"Männedorf, SUI",Switzerland,182.0,83.0,L,Columbus Blue Jackets,True,2018,6,159,Columbus Blue Jackets,tim-berni,,,,,2018,2020-06-03,Tim Berni,D,0.09,10,18.7
171,320307,2001-01-28,"St. John's, NL, CAN",Canada,179.0,87.0,L,Colorado Avalanche,False,2019,1,16,Colorado Avalanche,alex-newhook,,,,,2019,2020-06-03,Alex Newhook,F,0.91,31,154.7
172,221525,1998-10-06,"Nokia, FIN",Finland,187.0,93.0,L,Calgary Flames,True,2017,1,16,Calgary Flames,juuso-valimaki,,,,,2017,2020-06-03,Juuso Välimäki,D,0.81,4,68.7
173,237068,1999-10-02,"Brno, CZE",Czech Rep.,187.0,86.0,R,Colorado Avalanche,True,2018,1,16,Colorado Avalanche,martin-kaut,,,,,2018,2020-06-03,Martin Kaut,F,0.6,6,47.7
174,236358,1999-04-20,"Ostrov nad Ohri, CZE",Czech Rep.,180.0,73.0,L,Buffalo Sabres,False,2019,6,160,Buffalo Sabres,lukas-rousek,,,,,2017,2020-06-03,Lukas Rousek,F,0.06,9,23.1
